 ADC1	 ADC2	 ADC3	 ADC4	 F1	 F2	 F3	 F4	 KE1	 KE2	 KE3	 KE4	 W1	 W2	 W3	 W4	N: Peptides	T: Protein IDs	T: Majority protein IDs	T: Fasta headers
31.4909	31.4393	31.4799	31.3491	31.1971	31.2572	31.125	31.4696	31.5509	31.017	31.2786	28.9542	31.5487	31.3176	31.3248	30.7514	37	sp|A0QND6|DPO3B_MYCS2	sp|A0QND6|DPO3B_MYCS2	sp|A0QND6|DPO3B_MYCS2 Beta sliding clamp OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=dnaN PE=1 SV=1
23.8371	24.381	24.0292	24.0832	26.192	26.6123	26.3004	26.5561	24.4241	24.7545	24.4697	24.6508	23.8167	24.0802	24.3217	23.0894	11	sp|A0QND8|RECF_MYCS2	sp|A0QND8|RECF_MYCS2	sp|A0QND8|RECF_MYCS2 DNA replication and repair protein RecF OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=recF PE=3 SV=1
29.6845	29.4945	29.4854	29.5938	30.4875	30.9794	31.0961	30.7883	29.6289	29.5485	29.4652	29.5371	29.7902	29.9311	30.057	29.9478	56	sp|A0QNE0|GYRB_MYCS2;tr|A0QRT3|A0QRT3_MYCS2	sp|A0QNE0|GYRB_MYCS2;tr|A0QRT3|A0QRT3_MYCS2	sp|A0QNE0|GYRB_MYCS2 DNA gyrase subunit B OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=gyrB PE=1 SV=1;tr|A0QRT3|A0QRT3_MYCS2 DNA gyrase subunit B OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=gyr
29.8306	29.7283	29.8415	30.0162	29.3328	29.0378	28.7979	29.8794	29.6825	29.4123	29.8203	28.0293	29.8271	29.9766	29.7816	29.0407	9	sp|A0QNF5|CWSA_MYCS2	sp|A0QNF5|CWSA_MYCS2	sp|A0QNF5|CWSA_MYCS2 Cell wall synthesis protein CwsA OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=cwsA PE=1 SV=1
29.3331	29.0936	29.1457	29.2931	29.3209	29.2894	29.2812	27.8048	28.857	28.9813	28.8401	27.5195	29.6544	29.5038	29.5855	29.5784	32	sp|A0QNG1|PKNB_MYCS2	sp|A0QNG1|PKNB_MYCS2	sp|A0QNG1|PKNB_MYCS2 Serine/threonine-protein kinase PknB OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=pknB PE=1 SV=1
26.4544	26.6355	26.2783	27.0508	26.9383	27.0131	26.6133	27.1806	25.786	26.063	26.6075	24.9153	26.3581	26.6285	26.4243	27.2016	17	sp|A0QNG3|PBPA_MYCS2	sp|A0QNG3|PBPA_MYCS2	sp|A0QNG3|PBPA_MYCS2 Penicillin-binding protein A OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=pbpA PE=3 SV=1
26.6199	26.9969	26.4785	26.9475	27.0587	27.0443	26.7275	27.6668	26.4855	26.7657	26.6768	24.717	27.0515	27.2399	27.5051	27.8777	8	sp|A0QNG6|FHAB_MYCS2	sp|A0QNG6|FHAB_MYCS2	sp|A0QNG6|FHAB_MYCS2 FHA domain-containing protein FhaB OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=fhaB PE=1 SV=1
28.6002	28.9736	28.6447	28.6519	28.0344	27.5129	27.766	27.8332	28.6606	28.7365	28.5118	27.4296	28.6563	28.5122	28.5158	27.9042	25	sp|A0QNH4|SAEA_MYCS2	sp|A0QNH4|SAEA_MYCS2	sp|A0QNH4|SAEA_MYCS2 Putative ESX-1 scaffolding and assembly protein SaeA OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=saeA PE=4 SV=1
26.9053	26.9302	26.9062	26.811	26.6822	26.5623	26.4229	26.8347	26.795	27.1578	26.9845	27.182	26.968	26.7511	27.0056	28.1883	24	sp|A0QNH5|SAEB_MYCS2	sp|A0QNH5|SAEB_MYCS2	sp|A0QNH5|SAEB_MYCS2 Putative ESX-1 scaffolding and assembly protein SaeB OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=saeB PE=4 SV=1
28.253	28.3452	28.154	28.079	27.2204	26.9996	27.1256	27.2884	27.8542	27.7826	27.863	28.2841	28.0454	27.9518	27.7867	28.9878	15	sp|A0QNH6|SAEC_MYCS2	sp|A0QNH6|SAEC_MYCS2	sp|A0QNH6|SAEC_MYCS2 Putative ESX-1 scaffolding and assembly protein SaeC OS=Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) OX=246196 GN=saeC PE=4 SV=1
